"","target.priority","altitude..hundreds.of.feet."
"16343","1",264
"16344","1",263
"16345","1",263
"16346","3",263
"16347","3",263
"16348","4",261
"16349","4",261
"16350","4",261
"16351","1",259
"16352","1",259
"16353","3",259
"16354","1",259
"16355","1",259
"16356","3",259
"16357","1",259
"16358","1",259
"16359","1",259
"16360","1",258
"16361","1",258
"16362","1",258
"16363","1",258
"16364","1",258
"16365","1",258
"16366","1",258
"16367","1",258
"16368","1",258
"16369","2",257
"16370","2",257
"16371","2",257
"16372","2",256
"16373","2",256
"16374","2",256
"16375","1",256
"16376","1",256
"16377","1",256
"16378","2",255
"16379","2",255
"16380","2",255
"16381","1",255
"16382","1",255
"16383","1",254
"16384","1",254
"16385","1",253
"16386","1",253
"16387","1",253
"16388","1",253
"16389","1",253
"16390","4",252
"16391","4",252
"16392","4",252
"16395","4",250
"16396","4",250
"16397","4",250
"16398","1",250
"16399","1",250
"16400","1",250
"16401","1",139
"16402","1",139
"16403","1",139
"16404","1",139
"16405","1",139
"16406","1",139
"16407","1",139
"16408","1",139
"16409","1",139
"16410","3",139
"16411","3",139
"16412","3",139
"16413","2",139
"16414","2",139
"16415","2",139
"16416","2",139
"16417","2",139
"16418","2",139
"16419","2",139
"16420","2",139
"16421","2",139
"16422","3",139
"16423","3",139
"16424","3",275
"16425","3",275
"16426","1",265
"16427","1",265
"16428","2",260
"16429","2",260
"16430","2",260
"16431","2",260
"16432","2",258
"16433","2",258
"16434","2",258
"16435","2",258
"16436","2",255
"16437","2",255
"16438","2",255
"16439","2",255
"16442","2",250
"16443","2",250
"16444","2",250
"16445","2",250
"16446","2",250
"16447","2",250
"16448","2",250
"16449","2",250
"16450","2",250
"16451","2",250
"16452","2",250
"16455","2",245
"16460","2",245
"16462","2",244
"16463","2",244
"16464","2",244
"16465","2",244
"16466","2",244
"16467","2",244
"16468","2",244
"16469","2",244
"16470","3",240
"16471","3",240
"16472","3",240
"16473","1",235
"16474","1",235
"16475","1",230
"16476","1",230
"16477","1",230
"16478","1",230
"16479","1",225
"16480","1",225
"16481","1",225
"16482","1",225
"16483","1",222
"16484","1",222
"16485","3",220
"16486","3",220
"16487","3",220
"16488","1",220
"16489","1",220
"16490","1",220
"16491","1",220
"16492","2",205
"16493","2",205
"16494","1",194
"16495","1",194
"16496","1",193
"16497","1",193
"16498","2",190
"16499","2",190
"16500","1",180
"16501","1",2
"16502","1",3
"16503","1",1
"16504","1",2
"16505","1",1
"16506","1",1
"16507","1",20
"16508","1",212
"16509","1",199
"16510","1",206
"16511","1",102
"16512","1",1
"16514","1",139
"16516","1",139
"16517","1",25
"16518","1",15
"16519","1",1
"16520","1",1
"16521","1",15
"16522","1",139
"16523","1",250
"16524","1",245
"16525","1",235
"16526","1",240
"16527","1",240
"16528","1",240
"16529","1",85
"16530","1",85
"16531","1",160
"16532","1",160
"16533","1",105
"16534","1",105
"16535","1",102
"16536","1",102
"16537","1",100
"16538","1",100
"16539","1",95
"16540","1",95
"16541","1",95
"16542","1",95
"16543","1",95
"16544","1",139
"16545","1",139
"16546","1",139
"16547","1",139
"16548","1",139
"16549","1",139
"16550","1",139
"16551","1",139
"16552","1",95
"16553","1",95
"16554","1",90
"16555","1",85
"16556","1",1
"16557","1",100
"16558","1",195
"16559","1",212
"16560","1",166
"16562","1",110
"16563","1",190
"16564","1",170
"16565","1",54
"16566","1",70
"16567","1",1
"16568","1",20
"16569","1",20
"16570","1",80
"16571","1",80
"16572","1",1
"16573","1",10
"16574","1",1
"16575","1",12
"16576","1",139
"16577","1",80
"16579","1",139
"16580","1",139
"16581","1",215
"16582","1",214
"16583","1",20
"16584","1",220
"16585","1",100
"16586","1",100
"16587","1",105
"16588","1",105
"16589","2",90
"16590","2",90
"16591","1",139
"16592","2",139
"16593","1",139
"16594","2",139
"16595","1",95
"16596","2",40
"16597","1",100
"16598","1",200
"16600","1",15
"16602","1",250
"16603","1",250
"16604","1",250
"16605","1",249
"16606","1",249
"16607","1",249
"16608","1",249
"16609","1",249
"16610","1",249
"16611","2",248
"16612","2",248
"16613","2",248
"16614","1",248
"16615","1",248
"16616","1",248
"16617","1",248
"16618","1",248
"16619","1",248
"16620","1",248
"16621","1",248
"16622","1",248
"16623","1",248
"16624","1",248
"16625","1",248
"16626","1",248
"16627","1",246
"16628","1",246
"16629","1",246
"16630","1",244
"16631","1",244
"16632","1",244
"16633","2",243
"16634","2",243
"16635","2",243
"16636","2",242
"16637","2",242
"16638","2",242
"16639","4",242
"16640","4",242
"16641","4",242
"16642","1",240
"16643","1",240
"16644","1",240
"16645","3",240
"16646","1",240
"16647","1",240
"16648","1",240
"16649","1",240
"16650","3",236
"16651","3",236
"16652","3",236
"16653","1",236
"16654","1",236
"16655","1",236
"16656","2",232
"16657","2",232
"16658","2",232
"16659","1",230
"16660","1",230
"16661","1",230
"16662","1",230
"16663","1",230
"16664","1",230
"16665","1",226
"16666","1",226
"16667","1",226
"16668","1",226
"16669","1",226
"16670","1",226
"16671","1",226
"16672","1",225
"16673","1",225
"16674","1",225
"16675","1",225
"16676","1",225
"16677","1",225
"16678","1",222
"16679","3",221
"16680","3",221
"16681","3",221
"16682","3",220
"16683","3",220
"16684","3",220
"16685","1",220
"16686","1",220
"16687","1",220
"16688","1",220
"16689","1",220
"16690","1",220
"16691","1",218
"16692","1",218
"16693","1",218
"16694","1",216
"16695","1",216
"16696","1",216
"16697","1",216
"16698","1",216
"16699","1",216
"16700","1",213
"16701","1",180
"16774","3",139
"16775","3",139
"16776","3",139
"16777","3",139
"16780","1",139
"16781","1",139
"16782","3",139
"16783","3",139
"16784","3",139
"16785","3",139
"16786","3",139
"16787","3",139
"16788","1",139
"16789","1",139
"16790","1",139
"16791","3",139
"16795","1",139
"16799","3",139
"16800","3",139
"16801","1",20
"16802","1",139
"16803","1",1
"16804","1",1
"16805","1",180
"16806","1",20
"16807","1",168
"16808","1",176
"16809","1",195
"16810","1",83
"16813","1",19
"16814","1",10
"16815","1",90
"16816","1",20
"16817","1",78
"16818","1",2
"16819","1",180
"16821","1",100
"16822","1",210
"16823","1",205
"16824","1",205
"16825","1",215
"16827","1",170
"16828","1",25
"16829","1",20
"16830","1",175
"16831","1",20
"16832","1",100
"16833","1",15
"16834","1",10
"16835","1",100
"16838","1",20
"16839","1",220
"16841","2",240
"16842","1",230
"16843","1",225
"16844","2",225
"16845","1",110
"16846","1",110
"16847","1",105
"16848","1",105
"16849","1",105
"16850","1",100
"16851","1",100
"16852","1",10
"16853","1",40
"16854","1",140
"16855","1",110
"16856","1",50
"16857","1",1
"16858","1",1
"16859","1",1
"16860","1",190
"16861","1",184
"16862","1",182
"16863","1",154
"16864","1",108
"16866","1",160
"16867","1",165
"16868","2",1
"16870","1",20
"16872","1",139
"16873","1",5
"16874","1",168
"16875","1",116
"16876","1",20
"16877","2",139
"16879","1",225
"16880","1",106
"16881","1",106
"16882","1",139
"16883","1",139
"16884","1",227
"16885","1",227
"16886","1",225
"16887","1",225
"16888","1",170
"16889","1",105
"16890","1",175
"16891","1",114
"16892","1",180
"16893","1",106
"16894","1",95
"16895","1",20
"16896","2",139
"16897","1",120
"16898","2",84
"16901","1",209
"16902","1",209
"16903","1",209
"16904","1",205
"16905","1",205
"16906","1",205
"16907","1",205
"16908","1",205
"16909","1",205
"16910","1",202
"16911","1",202
"16912","1",202
"16913","1",200
"16914","1",200
"16915","1",200
"16916","1",200
"16917","1",199
"16918","1",199
"16919","1",199
"16920","1",199
"16921","1",199
"16922","1",199
"16923","1",195
"16924","1",195
"16925","1",195
"16926","1",192
"16927","1",192
"16928","1",192
"16929","1",191
"16930","1",191
"16931","1",191
"16932","1",190
"16933","1",190
"16934","1",190
"16935","1",190
"16936","1",190
"16937","1",190
"16938","1",186
"16939","1",186
"16940","1",186
"16941","1",178
"16942","1",178
"16943","1",178
"16944","1",170
"16945","1",170
"16946","1",170
"16947","1",170
"16948","1",170
"16949","1",170
"16950","1",164
"16951","1",162
"16952","1",160
"16953","1",160
"16954","1",160
"16955","1",158
"16956","1",157
"16957","1",157
"16958","1",157
"16959","1",157
"16960","1",153
"16961","1",152
"16968","1",110
"16969","1",110
"16970","1",110
"16971","1",110
"16980","1",105
"16981","1",105
"16982","1",105
"16983","1",104
"16984","1",104
"16985","1",104
"16986","1",96
"16987","1",96
"16988","1",96
"16989","1",95
"16990","1",95
"16991","1",95
"16992","1",95
"16993","1",95
"16994","1",95
"16995","1",95
"16996","1",95
"16997","1",95
"16998","1",94
"16999","1",94
"17000","1",94
"17001","3",139
"17005","3",139
"17006","1",114
"17007","1",114
"17008","1",111
"17009","1",111
"17010","1",111
"17011","1",111
"17012","1",105
"17013","1",105
"17014","1",100
"17015","1",100
"17016","1",90
"17017","1",90
"17018","1",90
"17019","1",90
"17020","1",80
"17021","1",80
"17022","1",50
"17023","1",50
"17024","1",50
"17025","1",50
"17026","1",40
"17027","1",40
"17028","1",139
"17029","1",139
"17030","1",139
"17031","1",139
"17032","1",139
"17033","1",139
"17034","1",139
"17035","1",139
"17036","1",139
"17037","1",139
"17038","1",139
"17039","1",139
"17040","1",139
"17041","1",139
"17042","1",120
"17043","1",120
"17044","1",120
"17045","1",120
"17046","2",110
"17047","2",110
"17048","1",110
"17049","1",110
"17050","1",80
"17051","1",80
"17052","1",60
"17053","1",60
"17054","1",60
"17055","1",60
"17056","1",50
"17057","1",50
"17058","1",50
"17059","1",50
"17060","1",35
"17061","1",35
"17062","1",12
"17063","1",139
"17064","1",139
"17065","1",139
"17066","1",139
"17067","2",139
"17068","2",139
"17069","1",139
"17070","1",139
"17072","1",139
"17073","1",139
"17074","1",139
"17075","1",139
"17076","1",139
"17077","1",139
"17078","1",139
"17079","1",139
"17080","1",139
"17081","1",139
"17083","2",260
"17084","2",260
"17085","4",260
"17086","4",260
"17087","2",255
"17088","1",175
"17089","1",170
"17090","1",165
"17091","1",105
"17092","1",60
"17093","3",52
"17094","1",1
"17095","1",1
"17096","1",139
"17097","1",139
"17098","2",32
"17099","1",45
"17100","1",1
"17106","1",100
"17107","1",100
"17108","1",98
"17109","1",98
"17110","1",1
"17111","1",194
"17112","1",198
"17115","1",58
"17116","1",158
"17117","1",60
"17118","1",52
"17120","1",20
"17122","1",40
"17123","1",15
"17124","1",10
"17127","1",80
"17129","1",214
"17130","1",214
"17131","1",214
"17132","1",110
"17133","1",110
"17134","1",105
"17135","1",105
"17136","1",105
"17137","1",105
"17138","1",105
"17139","1",105
"17140","1",95
"17141","1",95
"17142","1",90
"17143","1",90
"17144","1",85
"17145","1",85
"17146","1",11
"17147","1",139
"17148","1",139
"17149","1",139
"17150","1",139
"17151","1",139
"17152","1",139
"17153","3",210
"17154","1",100
"17155","1",100
"17156","1",20
"17157","1",139
"17158","1",130
"17159","1",100
"17160","1",195
"17162","1",50
"17163","1",1
"17164","1",1
"17165","1",1
"17168","1",17
"17169","1",139
"17170","1",139
"17171","1",1
"17172","1",200
"17173","1",70
"17174","1",139
"17176","1",200
"17177","1",130
"17178","1",25
"17179","1",200
"17180","1",100
"17182","1",139
"17183","1",139
"17184","1",139
"17185","1",258
"17186","1",258
"17187","1",258
"17188","1",246
"17189","1",246
"17190","1",246
"17191","1",240
"17192","1",240
"17193","1",240
"17194","1",240
"17195","1",240
"17196","1",240
"17197","1",220
"17198","1",220
"17199","1",220
"17200","1",218
"17201","1",94
"17202","1",94
"17203","1",94
"17204","1",94
"17205","1",94
"17206","1",94
"17207","1",90
"17208","1",90
"17209","1",90
"17210","1",90
"17211","1",80
"17212","1",80
"17213","1",11
"17214","1",11
"17215","1",9
"17216","1",9
"17217","1",8
"17224","1",139
"17227","1",139
"17228","1",139
"17229","1",139
"17230","1",139
"17232","2",139
"17233","2",139
"17234","3",139
"17235","2",139
"17236","2",139
"17237","2",139
"17238","2",139
"17240","4",139
"17242","4",139
"17244","4",139
"17249","1",139
"17250","1",139
"17251","1",139
"17252","1",139
"17253","1",139
"17254","1",139
"17255","1",139
"17256","1",139
"17257","1",139
"17258","3",139
"17261","4",139
"17266","1",139
"17267","1",139
"17268","1",139
"17269","1",139
"17270","1",139
"17271","1",139
"17272","1",139
"17273","1",139
"17274","1",139
"17275","1",139
"17276","1",139
"17277","1",139
"17278","1",139
"17279","1",139
"17280","1",139
"17281","1",139
"17282","1",139
"17283","1",139
"17284","1",139
"17288","1",139
"17289","1",139
"17290","1",139
"17291","1",139
"17292","1",139
"17293","1",139
"17294","1",139
"17295","1",139
"17296","1",139
"17300","4",139
"17301","1",1
"17302","1",1
"17303","1",48
"17304","1",45
"17305","1",60
"17306","1",4
"17307","1",20
"17308","1",110
"17309","1",105
"17310","1",102
"17311","1",100
"17312","1",60
"17313","1",139
"17314","1",1
"17315","1",1
"17316","1",139
"17317","1",20
"17318","1",17
"17319","1",48
"17320","1",20
"17321","1",10
"17322","2",1
"17323","2",1
"17324","1",20
"17325","1",20
"17326","1",139
"17327","1",139
"17328","1",15
"17329","1",15
"17330","1",15
"17331","1",15
"17332","1",15
"17333","1",15
"17334","1",25
"17335","1",88
"17336","1",90
"17337","2",139
"17338","1",139
"17339","1",1
"17340","1",139
"17341","1",120
"17342","1",120
"17343","1",110
"17344","1",110
"17345","1",105
"17346","1",105
"17347","1",100
"17348","1",100
"17349","1",100
"17350","1",100
"17351","1",100
"17352","1",100
"17353","1",85
"17354","1",85
"17355","1",80
"17356","1",80
"17357","1",80
"17358","1",80
"17359","1",70
"17360","1",70
"17361","1",64
"17362","1",64
"17363","1",60
"17364","1",60
"17365","1",60
"17366","1",60
"17367","1",60
"17368","1",60
"17369","1",60
"17370","1",60
"17371","1",60
"17372","1",60
"17373","1",50
"17374","1",50
"17375","1",50
"17376","1",50
"17377","1",30
"17378","1",30
"17379","2",248
"17380","3",240
"17381","2",230
"17382","2",190
"17383","2",139
"17384","2",139
"17385","3",139
"17386","3",139
"17392","1",200
"17401","1",218
"17402","1",218
"17403","1",110
"17404","1",110
"17405","1",105
"17406","1",105
"17407","1",105
"17408","1",105
"17409","1",105
"17410","1",100
"17411","1",100
"17412","1",100
"17413","1",100
"17414","1",100
"17415","1",100
"17416","1",97
"17417","1",97
"17418","1",97
"17419","4",95
"17420","4",95
"17421","1",95
"17422","1",95
"17423","1",95
"17424","1",90
"17425","1",90
"17426","1",90
"17427","1",90
"17428","1",10
"17429","1",10
"17430","1",9
"17431","1",9
"17432","1",110
"17433","1",110
"17434","1",92
"17435","1",92
"17436","1",88
"17437","1",88
"17438","1",139
"17439","1",139
"17440","1",139
"17441","1",139
"17442","2",147
"17443","1",1
"17444","1",136
"17445","1",123
"17446","1",139
"17447","1",2
"17448","1",2
"17449","1",1
"17450","1",139
"17451","1",85
"17452","1",190
"17453","1",85
"17454","1",80
"17455","1",82
"17456","1",82
"17457","1",2
"17458","1",25
"17459","1",1
"17462","1",139
"17463","1",20
"17464","1",210
"17475","1",266
"17476","1",266
"17477","1",237
"17478","1",237
"17479","1",235
"17480","1",235
"17481","1",230
"17482","1",230
"17483","1",230
"17484","1",230
"17485","1",230
"17486","1",230
"17487","1",230
"17488","1",230
"17489","1",230
"17490","1",230
"17491","1",220
"17492","1",220
"17493","1",220
"17494","1",220
"17495","1",220
"17496","1",220
"17497","1",220
"17498","1",220
"17499","1",220
"17500","1",220
"17501","1",139
"17502","4",139
"17503","4",139
"17504","1",139
"17505","4",139
"17506","1",139
"17507","3",139
"17508","3",139
"17509","1",215
"17510","1",215
"17511","1",215
"17512","1",139
"17513","1",139
"17514","1",139
"17515","1",115
"17516","1",115
"17517","1",115
"17518","1",45
"17519","1",45
"17520","1",210
"17521","1",210
"17522","1",210
"17523","1",205
"17524","1",205
"17525","1",205
"17526","1",198
"17527","1",198
"17528","1",198
"17529","1",190
"17530","1",190
"17531","1",190
"17532","1",180
"17533","1",180
"17534","1",180
"17535","1",111
"17536","1",111
"17537","1",111
"17538","1",139
"17539","1",139
"17540","1",139
"17542","1",125
"17543","1",120
"17544","1",25
"17545","1",10
"17546","1",8
"17547","1",1
"17548","1",1
"17549","1",1
"17550","1",1
"17551","1",139
"17552","1",139
"17553","1",30
"17554","1",8
"17555","1",2
"17556","1",139
"17557","1",38
"17558","1",115
"17559","1",33
"17560","1",20
"17561","1",18
"17562","1",53
"17563","1",38
"17564","1",100
"17565","1",199
"17566","1",1
"17567","1",1
"17568","1",1
"17569","1",70
"17570","1",70
"17571","1",70
"17572","1",139
"17573","2",139
"17574","1",30
"17575","1",30
"17576","1",3
"17577","1",30
"17578","1",53
"17579","1",2
"17580","1",2
"17581","1",139
"17582","1",139
"17583","1",1
"17584","1",1
"17585","1",1
"17586","1",65
"17587","1",30
"17588","1",20
"17591","2",139
"17592","1",25
"17593","1",50
"17594","1",25
"17595","1",10
"17596","1",70
"17597","1",70
"17598","1",1
"17599","1",1
"17600","1",139
"17607","3",139
"17608","3",139
"17609","3",139
"17610","3",139
"17611","3",139
"17613","3",235
"17614","3",235
"17615","3",185
"17616","3",185
"17617","3",185
"17618","3",139
"17619","3",139
"17620","3",139
"17621","3",139
"17622","3",139
"17623","2",200
"17624","2",190
"17625","3",139
"17626","3",139
"17628","1",257
"17629","1",257
"17630","1",257
"17632","1",255
"17633","1",255
"17634","1",255
"17636","1",252
"17637","1",252
"17638","2",252
"17639","1",252
"17640","1",252
"17641","1",252
"17642","1",252
"17644","1",250
"17645","1",250
"17646","1",250
"17647","1",250
"17648","1",250
"17649","1",250
"17650","1",250
"17651","1",250
"17652","1",250
"17653","1",250
"17654","1",250
"17655","2",250
"17656","2",250
"17657","1",250
"17658","1",250
"17659","1",248
"17660","1",248
"17661","1",248
"17662","1",248
"17663","1",248
"17664","1",248
"17665","3",245
"17666","1",245
"17667","1",245
"17668","1",245
"17669","1",245
"17670","1",245
"17671","1",245
"17672","3",243
"17673","3",243
"17674","3",243
"17675","1",241
"17676","1",241
"17677","1",241
"17678","1",240
"17679","1",240
"17680","1",240
